Name_to_Use	DownloadLink	DownloadCommand	ProteinFilename
Pleurobrachia_bachei	https://neurobase.rc.ufl.edu/pleurobrachia/download/downloadProject.php?projectID=38	echo 'Downloading proteome for Pleurobrachia_bachei.' && curl 'https://neurobase.rc.ufl.edu/pleurobrachia/download/downloadProject.php?projectID=38' > Pleurobrachia_bachei_proteome.fasta && echo Done!	Pleurobrachia_bachei_proteome.fasta
Hofstenia_miamia	http://ftp.ensemblgenomes.org/pub/metazoa/release-54/fasta/hofstenia_miamia/pep/Hofstenia_miamia.HmiaM1.pep.all.fa.gz	echo 'Downloading proteome for Hofstenia_miamia.' && rsync -v rsync://ftp.ebi.ac.uk/ensemblgenomes/pub/metazoa/release-54/fasta/hofstenia_miamia/pep/Hofstenia_miamia.HmiaM1.pep.all.fa.gz ./Hofstenia_miamia_proteome.fasta.gz && gunzip Hofstenia_miamia_proteome.fasta.gz && echo Done!	Hofstenia_miamia_proteome.fasta
Lokiarchaeota_archaeon	https://rest.uniprot.org/uniprotkb/stream?compressed=true&format=fasta&query=%28proteome%3AUP000621573%29	echo 'Downloading proteome for Lokiarchaeota_archaeon.' && curl 'https://rest.uniprot.org/uniprotkb/stream?compressed=true&format=fasta&query=%28proteome%3AUP000621573%29' > Lokiarchaeota_archaeon_UniProtProteome.fasta.gz && gunzip Lokiarchaeota_archaeon_UniProtProteome.fasta.gz && echo Done!	Lokiarchaeota_archaeon_UniProtProteome.fasta
Thorarchaeota_archaeon	https://rest.uniprot.org/uniprotkb/stream?compressed=true&format=fasta&query=%28proteome%3AUP000273160%29	echo 'Downloading proteome for Thorarchaeota_archaeon.' && curl 'https://rest.uniprot.org/uniprotkb/stream?compressed=true&format=fasta&query=%28proteome%3AUP000273160%29' > Thorarchaeota_archaeon_UniProtProteome.fasta.gz && gunzip Thorarchaeota_archaeon_UniProtProteome.fasta.gz && echo Done!	Thorarchaeota_archaeon_UniProtProteome.fasta
Helarchaeota_archaeon	https://rest.uniprot.org/uniprotkb/stream?compressed=true&format=fasta&query=%28proteome%3AUP000625964%29	echo 'Downloading proteome for Helarchaeota_archaeon.' && curl 'https://rest.uniprot.org/uniprotkb/stream?compressed=true&format=fasta&query=%28proteome%3AUP000625964%29' > Helarchaeota_archaeon_UniProtProteome.fasta.gz && gunzip Helarchaeota_archaeon_UniProtProteome.fasta.gz && echo Done!	Helarchaeota_archaeon_UniProtProteome.fasta
Odinarchaeota_archaeon	https://rest.uniprot.org/uniprotkb/stream?compressed=true&format=fasta&query=%28proteome%3AUP000186851%29	echo 'Downloading proteome for Odinarchaeota_archaeon.' && curl 'https://rest.uniprot.org/uniprotkb/stream?compressed=true&format=fasta&query=%28proteome%3AUP000186851%29' > Odinarchaeota_archaeon_UniProtProteome.fasta.gz && gunzip Odinarchaeota_archaeon_UniProtProteome.fasta.gz && echo Done!	Odinarchaeota_archaeon_UniProtProteome.fasta
Heimdallarchaeota_archaeon	https://rest.uniprot.org/uniprotkb/stream?compressed=true&format=fasta&query=%28proteome%3AUP000634061%29	echo 'Downloading proteome for Heimdallarchaeota_archaeon.' && curl 'https://rest.uniprot.org/uniprotkb/stream?compressed=true&format=fasta&query=%28proteome%3AUP000634061%29' > Heimdallarchaeota_archaeon_UniProtProteome.fasta.gz && gunzip Heimdallarchaeota_archaeon_UniProtProteome.fasta.gz && echo Done!	Heimdallarchaeota_archaeon_UniProtProteome.fasta
Prometheoarchaeum_syntrophicum	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000321408/UP000321408_2594042.fasta.gz	echo 'Downloading proteome for Prometheoarchaeum_syntrophicum.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Archaea/UP000321408/UP000321408_2594042.fasta.gz' > Prometheoarchaeum_syntrophicum_UniProtRefProteome.fasta.gz && gunzip Prometheoarchaeum_syntrophicum_UniProtRefProteome.fasta.gz && echo Done!	Prometheoarchaeum_syntrophicum_UniProtRefProteome.fasta
Toxoplasma_gondii	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000002226/UP000002226_432359.fasta.gz	echo 'Downloading proteome for Toxoplasma_gondii.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000002226/UP000002226_432359.fasta.gz' > Toxoplasma_gondii_UniProtRefProteome.fasta.gz && gunzip Toxoplasma_gondii_UniProtRefProteome.fasta.gz && echo Done!	Toxoplasma_gondii_UniProtRefProteome.fasta
Plasmodium_falciparum	https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000001450/UP000001450_36329.fasta.gz	echo 'Downloading proteome for Plasmodium_falciparum.' && curl 'https://ftp.uniprot.org/pub/databases/uniprot/current_release/knowledgebase/reference_proteomes/Eukaryota/UP000001450/UP000001450_36329.fasta.gz' > Plasmodium_falciparum_UniProtRefProteome.fasta.gz && gunzip Plasmodium_falciparum_UniProtRefProteome.fasta.gz && echo Done!	Plasmodium_falciparum_UniProtRefProteome.fasta
